instance,gain_percent,prob
dsj1000_01_usw_01_02,0.0444733,0.0019744719571924
dsj1000_01_usw_01_01,0.0444733,0.0019744719571924
dsj1000_03_unc_10_02,0.0488716,0.0019723826911256
dsj1000_05_usw_10_02,0.0568691,0.0019685837448579
eil51_05_bsc_10_02,0.0584106,0.0019678515065744
pr107_03_usw_10_03,0.0669838,0.0019637790931775
pr107_10_unc_10_03,0.0707679,0.0019619815823839
eil51_10_bsc_01_02,0.0771171,0.001958965606186
dsj1000_10_usw_10_01,0.0771276,0.0019589606185104
pr107_03_bsc_05_03,0.0772105,0.0019589212396238
dsj1000_05_bsc_01_01,0.0886138,0.00195350448139
pr107_10_unc_05_03,0.0961226,0.0019499376757964
pr107_01_usw_10_03,0.0999698,0.0019481101914474
pr107_03_bsc_10_02,0.101708,0.0019472845173739
dsj1000_10_unc_01_01,0.109332,0.0019436629898535
pr107_05_bsc_05_03,0.111846,0.0019424687978038
dsj1000_10_bsc_05_01,0.113747,0.0019415657910073
pr107_03_usw_10_02,0.114167,0.0019413662839823
pr107_03_usw_01_03,0.120801,0.0019382150230208
dsj1000_01_bsc_05_03,0.121819,0.0019377314559935
dsj1000_01_usw_05_01,0.124271,0.0019365667149809
pr107_01_unc_05_02,0.134006,0.0019319424271515
pr107_10_bsc_01_03,0.134328,0.0019317894717656
pr107_05_unc_10_03,0.145804,0.0019263381798159
pr107_10_bsc_05_03,0.15485,0.0019220411785108
pr107_10_bsc_10_02,0.161134,0.0019190561734034
eil51_05_bsc_01_03,0.163671,0.0019178510559691
eil51_03_bsc_01_03,0.170172,0.0019147629722321
pr107_01_unc_01_01,0.18728,0.0019066363860805
pr107_01_unc_05_03,0.198064,0.0019015138057052
dsj1000_05_unc_10_03,0.198319,0.0019013926764401
pr107_03_bsc_10_03,0.217581,0.0018922429042602
dsj1000_01_bsc_05_02,0.222267,0.0018900169758813
eil51_05_unc_10_01,0.229126,0.0018867588361563
dsj1000_10_unc_05_03,0.230389,0.0018861588900312
pr107_03_unc_05_03,0.232721,0.0018850511510257
dsj1000_05_usw_10_03,0.235966,0.0018835097217492
pr107_03_unc_01_03,0.257298,0.0018733766649461
dsj1000_03_bsc_01_02,0.265822,0.0018693276223721
pr107_05_usw_01_03,0.267841,0.0018683685636019
pr107_05_unc_05_03,0.275691,0.0018646396823013
dsj1000_03_usw_10_03,0.277476,0.0018637917774451
pr107_05_usw_05_03,0.278933,0.001863099678075
pr107_05_unc_01_03,0.286525,0.0018594933510898
dsj1000_10_usw_01_03,0.292253,0.0018567724552822
pr107_03_bsc_01_02,0.301139,0.0018525514566533
pr107_01_bsc_05_01,0.306634,0.0018499412397429
dsj1000_05_unc_01_01,0.311469,0.0018476445338717
dsj1000_10_unc_05_01,0.319591,0.0018437864480216
pr107_03_unc_10_02,0.323432,0.0018419619087763
dsj1000_10_bsc_05_02,0.324783,0.0018413201611792
pr107_03_unc_10_01,0.326724,0.0018403981537137
dsj1000_05_bsc_05_03,0.328141,0.0018397250550127
dsj1000_01_usw_05_03,0.334158,0.0018368668793712
pr107_10_unc_01_03,0.336308,0.0018358455934099
dsj1000_10_unc_10_03,0.37457,0.0018176705034325
dsj1000_03_bsc_05_03,0.388033,0.0018112753532478
pr107_03_bsc_01_03,0.392102,0.0018093425101889
pr107_01_bsc_10_02,0.395749,0.0018076101241885
dsj1000_10_usw_01_01,0.405738,0.0018028651821106
pr107_10_usw_05_02,0.406815,0.0018023535890965
pr107_05_usw_10_02,0.413332,0.0017992579050919
pr107_10_usw_05_03,0.448668,0.0017824727140553
eil51_10_unc_01_02,0.448849,0.0017823867360278
pr107_10_unc_10_02,0.450006,0.0017818371416756
pr107_03_unc_01_02,0.45069,0.0017815122302349
dsj1000_10_bsc_05_03,0.453708,0.0017800786297553
pr107_05_bsc_01_03,0.460773,0.0017767226365848
pr107_10_bsc_01_01,0.471405,0.0017716722587519
dsj1000_03_unc_10_01,0.472444,0.0017711787163734
pr107_01_usw_05_02,0.475994,0.0017694924069954
pr107_01_unc_01_03,0.477139,0.0017689485128439
dsj1000_05_unc_10_01,0.494377,0.0017607601745179
dsj1000_05_bsc_01_02,0.496898,0.0017595626573512
dsj1000_01_unc_01_02,0.498269,0.0017589114094196
dsj1000_01_unc_01_01,0.498269,0.0017589114094196
dsj1000_01_unc_01_03,0.498269,0.0017589114094196
dsj1000_10_usw_01_02,0.509372,0.0017536372987087
dsj1000_10_unc_05_02,0.514946,0.0017509895554769
dsj1000_03_bsc_01_03,0.539711,0.0017392257662528
dsj1000_10_usw_05_02,0.544463,0.00173696848677
pr107_05_bsc_01_02,0.623921,0.0016992246077404
dsj1000_10_bsc_01_01,0.63532,0.0016938098920786
pr107_10_bsc_01_02,0.637564,0.001692743954545
dsj1000_10_unc_01_03,0.648113,0.0016877330031005
dsj1000_01_unc_05_02,0.677145,0.0016739423175057
dsj1000_10_usw_10_02,0.698603,0.0016637494085952
pr107_05_bsc_10_03,0.701784,0.0016622383803891
dsj1000_01_unc_05_01,0.744177,0.0016421009963158
dsj1000_01_unc_10_01,0.776303,0.0016268406089702
dsj1000_10_unc_10_02,0.815154,0.0016083857341411
dsj1000_05_unc_01_02,0.86527,0.0015845797958914
dsj1000_03_unc_01_02,0.870281,0.0015821994870764
dsj1000_10_bsc_01_02,0.947756,0.0015453975662149
dsj1000_10_usw_05_01,0.998253,0.0015214106465925
dsj1000_01_unc_05_03,1.02755,0.0015074940815654
pr107_01_unc_01_02,1.03101,0.0015058505236927
dsj1000_03_unc_01_03,1.17637,0.0014368020923739
dsj1000_05_bsc_01_03,1.28414,0.0013856095397924
dsj1000_10_unc_01_02,1.34918,0.0013547144519211
pr107_10_usw_01_03,1.42384,0.0013192497031438
pr107_10_bsc_10_03,1.56913,0.0012502345229957
dsj1000_03_unc_01_01,1.70083,0.0011876748201566
pr107_10_unc_01_02,1.92187,0.0010826771229997
pr107_05_unc_01_02,1.96149,0.0010638569603081
pr107_10_unc_05_02,2.01246,0.0010396453577742
pr107_05_unc_10_02,2.07583,0.0010095435478356
pr107_05_usw_05_02,2.44815,0.0008326853203408
pr107_03_usw_05_02,2.53369,0.0007920523895826
pr107_05_unc_05_02,2.81137,0.0006601497450543
pr107_10_usw_10_02,3.97105,0.0001092823480271
pr107_10_unc_01_01,4.02924,8.164112473015986e-05
pr107_05_unc_01_01,4.06584,6.425551255163048e-05
pr107_05_bsc_10_02,4.20111,0.0
